country,cidade,url
US,Sunnyvale,http://192.135.76.230:80/SnapshotJPEG?Resolution=640x480&amp;amp;Quality=Clarity&amp;amp;COUNTER
US,Baltimore,http://144.163.43.148:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Baltimore,http://71.37.29.153:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Baltimore,http://100.38.222.156:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Baltimore,http://65.131.94.145:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Baltimore,http://134.129.193.152:8080/?action=stream
US,Baltimore,http://73.86.118.148:50001/SnapshotJPEG?Resolution=640x480&amp;amp;Quality=Clarity&amp;amp;COUNTER
US,Central Islip,http://65.175.253.148:8080/videostream.cgi?user=admin&amp;pwd=
US,Central Islip,http://169.136.206.154:8080/mjpg/video.mjpg
US,Central Islip,http://166.156.84.135:8000/-wvhttp-01-/GetOneShot?image_size=640x480&amp;frame_count=1000000000
US,Central Islip,http://166.168.64.136:82/cgi-bin/faststream.jpg?stream=half&amp;fps=15&amp;rand=COUNTER
US,Central Islip,http://71.36.127.134:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Central Islip,http://24.186.200.145:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Indianapolis,http://174.80.122.135:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Indianapolis,http://50.45.48.145:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Indianapolis,http://97.90.94.136:8082/?action=stream
US,Indianapolis,http://74.41.121.135:80/SnapshotJPEG?Resolution=640x480&amp;amp;Quality=Clarity&amp;amp;COUNTER
US,Indianapolis,http://184.63.220.139:8082/mjpg/video.mjpg
US,Indianapolis,http://73.102.200.134:8080/cam_1.cgi
US,Minneapolis,http://70.100.125.133:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Minneapolis,http://65.184.54.136:81/cgi-bin/camera?resolution=640&amp;amp;quality=1&amp;amp;Language=0&amp;amp;COUNTER
US,Minneapolis,http://74.83.74.133:50000/cgi-bin/camera?resolution=640&amp;amp;quality=1&amp;amp;Language=0&amp;amp;COUNTER
US,Minneapolis,http://65.184.54.136:80/cgi-bin/camera?resolution=640&amp;amp;quality=1&amp;amp;Language=0&amp;amp;COUNTER
US,Minneapolis,http://68.46.66.112:8083/img/video.mjpeg
US,Minneapolis,http://68.46.66.112:8084/img/video.mjpeg
US,Jackson,http://68.46.66.112:8082/img/video.mjpeg
US,Jackson,http://166.167.105.133:80/mjpg/video.mjpg
US,Jackson,http://166.141.33.112:82/cgi-bin/faststream.jpg?stream=half&amp;fps=15&amp;rand=COUNTER
US,Jackson,http://71.0.68.126:80/snap.jpg?JpegSize=M&amp;JpegCam=1&amp;r=COUNTER
US,Jackson,http://206.123.217.130:81/webcapture.jpg?command=snap&amp;channel=1?COUNTER
US,Jackson,http://69.246.97.126:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Tuckerman,http://69.178.98.127:8000/mjpg/video.mjpg
US,Tuckerman,http://144.253.56.114:8081/jpg/image.jpg?COUNTER
US,Tuckerman,http://174.20.172.126:80/jpgmulreq/1/image.jpg?key=1516975535684&amp;lq=1&amp;COUNTER
US,Tuckerman,http://98.103.183.117:80/jpgmulreq/1/image.jpg?key=1516975535684&amp;lq=1&amp;COUNTER
US,Tuckerman,http://74.73.104.114:80/webcapture.jpg?command=snap&amp;channel=1?COUNTER
US,Tuckerman,http://75.117.192.119:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Modesto,http://100.19.68.113:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Modesto,http://72.84.73.114:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Modesto,http://76.186.98.111:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Modesto,http://100.0.197.111:8084/?action=stream
US,Modesto,http://162.191.59.114:8090/mjpg/video.mjpg
US,Modesto,http://216.87.231.53:80/cgi-bin/viewer/video.jpg?r=COUNTER
US,Evansville,http://166.241.57.89:8090/-wvhttp-01-/GetOneShot?image_size=640x480&amp;frame_count=1000000000
US,Evansville,http://166.239.76.89:8000/-wvhttp-01-/GetOneShot?image_size=640x480&amp;frame_count=1000000000
US,Evansville,http://47.197.9.111:80/cgi-bin/faststream.jpg?stream=half&amp;fps=15&amp;rand=COUNTER
US,Evansville,http://67.60.192.112:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Evansville,http://75.165.141.119:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Evansville,http://198.37.223.110:8080/?action=stream
US,Long Beach,http://97.117.156.101:8080/?action=stream
US,Long Beach,http://64.90.159.118:8888/?action=stream
US,Long Beach,http://216.14.224.49:80/mjpg/video.mjpg
US,Long Beach,http://173.52.113.61:8888/out.jpg?q=30&amp;id=0.1317044913727916&amp;r=COUNTER
US,Long Beach,http://66.231.108.88:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Long Beach,http://71.84.245.72:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
US,Kirkland,http://66.57.149.67:80/cgi-bin/viewer/video.jpg?r=COUNTER
US,Kirkland,http://173.77.223.71:60001/cgi-bin/snapshot.cgi?chn=0&amp;u=admin&amp;p=&amp;q=0&amp;COUNTER
